name,home,away,period,groupName
Ball possession,32%,68%,ALL,Match overview
Expected goals,0.54,1.66,ALL,Match overview
Big chances,0,2,ALL,Match overview
Total shots,8,23,ALL,Match overview
Goalkeeper saves,5,1,ALL,Match overview
Corner kicks,3,10,ALL,Match overview
Fouls,5,12,ALL,Match overview
Passes,305,643,ALL,Match overview
Tackles,16,19,ALL,Match overview
Free kicks,12,5,ALL,Match overview
Yellow cards,1,3,ALL,Match overview
Total shots,8,23,ALL,Shots
Shots on target,2,6,ALL,Shots
Hit woodwork,0,1,ALL,Shots
Shots off target,4,9,ALL,Shots
Blocked shots,2,8,ALL,Shots
Shots inside box,6,16,ALL,Shots
Shots outside box,2,7,ALL,Shots
Big chances missed,0,2,ALL,Attack
Through balls,1,1,ALL,Attack
Touches in penalty area,17,41,ALL,Attack
Fouled in final third,1,1,ALL,Attack
Offsides,1,1,ALL,Attack
Accurate passes,224,554,ALL,Passes
Throw-ins,14,18,ALL,Passes
Final third entries,62,59,ALL,Passes
Final third phase,82/124 (66%),154/199 (77%),ALL,Passes
Long balls,17/52 (33%),20/36 (56%),ALL,Passes
Crosses,2/10 (20%),9/37 (24%),ALL,Passes
Duels,52%,48%,ALL,Duels
Dispossessed,9,6,ALL,Duels
Ground duels,42/77 (55%),35/77 (45%),ALL,Duels
Aerial duels,18/38 (47%),20/38 (53%),ALL,Duels
Dribbles,15/25 (60%),11/21 (52%),ALL,Duels
Tackles won,50%,74%,ALL,Defending
Total tackles,16,19,ALL,Defending
Interceptions,6,4,ALL,Defending
Recoveries,58,60,ALL,Defending
Clearances,43,17,ALL,Defending
Errors lead to a shot,1,0,ALL,Defending
Total saves,5,1,ALL,Goalkeeping
Goals prevented,0.49,-0.15,ALL,Goalkeeping
Goal kicks,11,4,ALL,Goalkeeping
Ball possession,31%,69%,1ST,Match overview
Expected goals,0.23,0.65,1ST,Match overview
Big chances,0,1,1ST,Match overview
Total shots,3,10,1ST,Match overview
Goalkeeper saves,3,1,1ST,Match overview
Corner kicks,1,5,1ST,Match overview
Passes,162,345,1ST,Match overview
Tackles,9,10,1ST,Match overview
Free kicks,7,2,1ST,Match overview
Yellow cards,0,0,1ST,Match overview
Total shots,3,10,1ST,Shots
Shots on target,2,3,1ST,Shots
Hit woodwork,0,1,1ST,Shots
Shots off target,1,4,1ST,Shots
Blocked shots,0,3,1ST,Shots
Shots inside box,3,7,1ST,Shots
Shots outside box,0,3,1ST,Shots
Big chances missed,0,1,1ST,Attack
Through balls,0,0,1ST,Attack
Fouled in final third,1,0,1ST,Attack
Offsides,0,0,1ST,Attack
Accurate passes,122,305,1ST,Passes
Throw-ins,8,4,1ST,Passes
Final third entries,36,28,1ST,Passes
Long balls,10/27 (37%),7/16 (44%),1ST,Passes
Crosses,2/3 (67%),4/15 (27%),1ST,Passes
Duels,57%,43%,1ST,Duels
Dispossessed,3,3,1ST,Duels
Ground duels,21/38 (55%),17/38 (45%),1ST,Duels
Aerial duels,13/22 (59%),9/22 (41%),1ST,Duels
Dribbles,6/13 (46%),5/11 (45%),1ST,Duels
Tackles won,44%,60%,1ST,Defending
Total tackles,9,10,1ST,Defending
Interceptions,2,2,1ST,Defending
Recoveries,32,34,1ST,Defending
Clearances,16,8,1ST,Defending
Total saves,3,1,1ST,Goalkeeping
Goal kicks,5,0,1ST,Goalkeeping
Ball possession,32%,68%,2ND,Match overview
Expected goals,0.31,1.02,2ND,Match overview
Big chances,0,1,2ND,Match overview
Total shots,5,13,2ND,Match overview
Goalkeeper saves,2,0,2ND,Match overview
Corner kicks,2,5,2ND,Match overview
Passes,143,298,2ND,Match overview
Tackles,7,9,2ND,Match overview
Free kicks,5,3,2ND,Match overview
Yellow cards,1,3,2ND,Match overview
Total shots,5,13,2ND,Shots
Shots on target,0,3,2ND,Shots
Hit woodwork,0,0,2ND,Shots
Shots off target,3,5,2ND,Shots
Blocked shots,2,5,2ND,Shots
Shots inside box,3,9,2ND,Shots
Shots outside box,2,4,2ND,Shots
Big chances missed,0,1,2ND,Attack
Through balls,1,1,2ND,Attack
Fouled in final third,0,1,2ND,Attack
Offsides,1,1,2ND,Attack
Accurate passes,102,249,2ND,Passes
Throw-ins,6,14,2ND,Passes
Final third entries,26,31,2ND,Passes
Long balls,7/25 (28%),13/20 (65%),2ND,Passes
Crosses,0/7 (0%),5/22 (23%),2ND,Passes
Duels,47%,53%,2ND,Duels
Dispossessed,6,3,2ND,Duels
Ground duels,21/39 (54%),18/39 (46%),2ND,Duels
Aerial duels,5/16 (31%),11/16 (69%),2ND,Duels
Dribbles,9/12 (75%),6/10 (60%),2ND,Duels
Tackles won,57%,89%,2ND,Defending
Total tackles,7,9,2ND,Defending
Interceptions,4,2,2ND,Defending
Recoveries,26,26,2ND,Defending
Clearances,27,9,2ND,Defending
Total saves,2,0,2ND,Goalkeeping
Goal kicks,6,4,2ND,Goalkeeping
